tax1	k__Bacteria
tax2	k__Bacteria,p__Firmicutes
tax3	k__Bacteria,p__Firmicutes,c__Clostridia
tax4	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales
tax5	k__Bacteria,p__Bacteroidetes
tax6	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales
tax7	k__Bacteria,p__Bacteroidetes,c__Bacteroidia
tax8	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae
tax9	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides
tax10	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae
tax11	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae
tax12	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium
tax13	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__prausnitzii
tax14	k__Bacteria,p__Proteobacteria
tax15	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__uniformis
tax16	k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria
tax17	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae
tax18	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia
tax19	k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae
tax20	k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales
tax21	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae
tax22	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__ovatus
tax23	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus
tax24	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Parabacteroides
tax25	k__Bacteria,p__Firmicutes,c__Bacilli
tax26	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae
tax27	k__Bacteria,p__Actinobacteria
tax28	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae
tax29	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella
tax30	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnospira
tax31	k__Bacteria,p__Actinobacteria,c__Actinobacteria
tax32	k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales
tax33	k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales
tax34	k__Bacteria,p__Firmicutes,c__Erysipelotrichi,o__Erysipelotrichales,f__Erysipelotrichaceae
tax35	k__Bacteria,p__Firmicutes,c__Erysipelotrichi
tax36	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Parabacteroides,s__distasonis
tax37	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia
tax38	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__copri
tax39	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Oscillospira
tax40	k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Proteus
tax41	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Dialister
tax42	k__Bacteria,p__Proteobacteria,c__Betaproteobacteria
tax43	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus
tax44	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__fragilis
tax45	k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae
tax46	k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales
tax47	k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus
tax48	k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria
tax49	k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales
tax50	k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae
tax51	k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium
tax52	k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae
tax53	k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales
tax54	k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__BRABarnesiellaceaeKET
tax55	k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae
